text1,text2,aut_id1,aut_id2,same
        urlLink    An almost finished product...&nbsp; urlLink            ,"       *Yawns* I'm so tired and exhausted after all my studies and homework.. They are killing me !! And worst still exams are coming and it's the major one !! Oh god, I am lack of time and sometimes I really hope there are 36 hours a day.. So that&nbsp;I can sound sweet longer and no longer morning sun could bug me to wake up... My exams are around the corner and is no longer&nbsp;relax as before.. It would be fine if there are 1000 days a year so that I could enjoy youth.. :p But I could dream no more and face my reality.. Its been quite long ever since I have enjoy.. But I will make sure I will play hard once this torment is over... Well, fun in studying is still existing to me as I really enjoy passing my time with it.. Moreover, I am not afraid of any subjects anymore because I have adequate skills in all of them.. Awwww, I missed my primary school days suddenly !! Maybe because I have been stressing myself all along but I really hope to go back to the days where I do not have headaches.. Turning the time back, I remember the scene and image when I am so childish !! Oh my god !! It's really embarrassing for me to even think of it let alone still having the attitude.. However, it is quite cute and I even smile to myself for that.. *Sigh* Those were the days while time is travelling and here I am ageing.. I could dream no further and hope that I could be climb up into another level through this test..     ",3772540,3942522,False
"       there are so many people in the world. Some of us are trained and broken and some of us are jst broken by choice. Reality sucks and everyone knows it. If you want a meaning in life then you have to find it. But if you want to suceed in life you have to be buried in it.Is there really a choice in what we want? Why do people hate? does anyone Know? I htink that people hate out of fear. Fear of change, fear of difference and fear of everything staying exactly the same. Everyone wants what they cant have, unless they dont have anything at all then they want nothing but need everything. But if you have it all you want everything and need nothing. we inven tmore and more things to make life simple, but in turn it just makes everything more difficult. you have money therefore you dont know what its like to be without or if you dont have any money you dont know what its like to have. everyone is unique, we have our own thoughts, thats what makes us who we are. We all like And dislike different things. we all believe in different things, and everyone says they like it that way but as soon as they find out someone is different from them they want to sprint in opposite directions of eachother or they wnat to make eachother like themselves. Everyones perfect. you all say were not because everyone makes mistakes, and thats what makes us perfect. Our differences and mistakes. NoOne is perfect to us because we base our lives on imperfection, therefore noone knows what perfection is. In order to find out who you are you have to experience as much as you possibly can or else your not giving yourself a chance to be happy. thank you for reading this even though i know its really scattered and probably makes no sense to you. i apologize.          ","       Did you ever wonder why people care so much? or why anyone shows emotion? emotion is pain and happiness all in the same body emotions overwhelm people so much sometimes it seems unbearable. But then again its not like we can control what we feel. why do people get so angry if someone crys, its neither of there faults because they cant control there emotions. Today my little brother was playing with my feet and it irritates me so much and he just kept on asking me why. i have no idea why thats just how i feel, i dont like it. Can you explain why you feel the way you do about things?          ",4301179,4301179,True
"                    this is a song i made. and i sing it all the time.   every morning when i rise inside my head i pretend i am the sky  and own the rain and trees and sun. i'm looking at clouds to find their rhythm and rhyme. - i got big ideas,  and they're bigger than the sound of world records breaking.  something's coming up so she'll lay it down. it seems like the only way of things;  living for the space and time. i've got my sights on and i'm planning a Great Escape. - i got big ideas, and they're bigger than the sound of world records breaking.  there was a reason to believe that i would make it here. i've got more than dreams of california and i'm never going back. i've got a job to make the grade. i'll never run out of love or time, i've got time.                   ",       4 days sure pass fast.. did not do anything much... juz dance dance and more dance.. got a chanc to watch my tv but not too much play... got some time to catch up on studies too.. at least i did study a bit.. like maths and english etc. haiz... i sure kenna scolding tomorrow... a maths before recess.. and summore did not do a maths hw... no bk how to do sia... i use other pple book also can wad... but all having lessons tomorrow.. how? i juz gonna buy it during recess time... den do the hw on my own... haiz         ,3140864,4124603,False
       Just got this book today. I've been wanting to read it since last year because I've heard a lot of very good reviews.           ,"       We went to  urlLink The Grove  tonight for a little stroll. Mom, dad and Dave wanted to check something out at  urlLink Crate & Barrel . On our way home we saw Matthew Perry a.k.a. Chandler Bing, from the widely known  urlLink FRIENDS  sitcom. One down, five to go.                ",4138273,4138273,True
"                 Eating REALLY spicy food takes my mind off homework. It makes me want to focus on how my mouth burns. Excuse me, I am in need of some orange juice.      ","       I need to talk with you again, Why did you go away, All our time together, just feels like yesterday, I never thought I'd see, a single day without you, The things we take for granted we can sometimes lose. And if I promise not to feel this pain, Will I see you again, Will I see you again...  Cause time will pass me by Maybe I'll never learn to smile, But i know I'll make it through, If you wait for me. And all the tears I cry, No matter how I try. They'll never bring you home to me, Won't you wait for me in heaven.  Do you remember how it was, when we never seemed to care. The days went by so quickly, Cos I thought you'd always be there. And it's hard to let you go, Though I know that I must try. I feel like I've been cheated, Cos we never said goodbye. And if I promise not to feel this pain, Will I see you again Will I see you again...  Cause time will pass me by  Maybe I'll never learn to smile But I'll know i'll make through If you wait for me ( Won't you wait for me ) And all the tears I cry No matter how I try They'll never bring you home to me Won't you wait for me  In heaven....  Cause I miss you so And I need to know Will you wait for me.     ",1112886,3711511,False
"           I just read Erica's blog. I had been waiting for her to post. She said a lot of stuff and it just really bugs me. Yesterday, it took so much to just try to get myself to ask her if she wanted to be there for my birthday. I honestly really wanted her there but it was a question of whether  she  wanted to be there. I didn't know and I was afraid she'd ignore me or just say no. I really missed her and wished everything could be okay again. I got myself to ask her and she said she could come. I saw Martin's display picture on MSN and thought it was really funny. It was a picture of him and Roger on White Water Canyon, looking really scared. The funny & cute part of the picture is the fact that they were really little. As in age-wise. It was just priceless. I thought about Erica the moment I started laughing at it and I knew that she was probably still mad at me and wanted me 'out of her life'. Since she wasn't ignoring me, I decided to tell her to look at Martin's display picture and said that I hoped it would bring a smile on her face. She couldn't see it so I told Martin to send it to her. He said I was a good friend to do that but I'm not so sure about that... She got it at last and thought it was funny too, I think. She said 'lol' or something so yeah. I just assumed she liked it. We talked a bit more about other things and yeah. She has no idea how badly I wanted things to be back to the way they were. No idea. I really wanted everything to be okay again, before this whole thing.   In her blog, she said that she was gonna take back what she said but then she read her comment on her blog page and wasn't so sure again. It was I who left a comment on her blog page. I wrote some stuff to clarify some things and I... I said that it wouldn't be a problem to stay out of her life. I guess I was just letting my pride get in the way again. I know that it  isn't  a problem, but it's not something I want to live with. Like I said, no matter what happens Erica would always be the one I go running to anyway. Even with the littlest things. She says I lecture her but I wouldn't know if I do or not. I don't mean to do a lot of things that I do. I mean, I'm me! It's typical of me to not know what I'm doing half the time. I think before I act or speak most of the time too!   I've tried acting perfect and nice. I've tried being Miss Nice Person but it's just... not me. Does everyone really think I love little kids? Sure, they're cute! Sure, they're nice! But I only like kids when they're nice! I wanna freak out everytime they start climbing all over me or bug me when something needs to be done that's actually serious with my friends. They  do  get on my nerves! But most of the time, I try to keep on a smile and just laugh along with them. Some of them are really nice (sincerely), some of them are annoying, and some of them just like bugging me on purpose. I'm not super-friendly. I'm not a great listener. I don't give the best advice in the world... And most of all, I act like a mom to Erica more than a best friend because I care about her a lot and I don't want anything to happen. Yeah, I guess I'm over-protective, but it's only 'cos I care. She knows I do.  It hurted that she had second thoughts about things. I really missed her. I wanted to be back in her life. I wanted things to be back to the way they were... even if we got on each other's nerves all the time. I love Erica as a best friend... I still care. Even if she wants me out of her life, I'd still care about what she does... I can't do anything about what she does but I still care so much... I just want her back.         ","           Here I am, just sitting in front of the computer yet again. I don't really know what I'm going to say in this blog entry but all I know is that my thoughts are just flowing into my fingers as my fingers are flying over the keyboard typing out my every thought. I don't know if I'll hide anything on this blog because I know that I've hidden some things in my public one. What I need right now is guidance. I really don't know what to do. Read Wilfred's blog and thought about what he had to say about the problem I was currently having. She cleary stated for me to stay out of her life. What do you want me to do about it? Why do I have to say I'm sorry when I don't even know why she's so pissed off at me. Is it because of all the stuff she said in her blog? That I lecture her everytime she talks to me about something? Do I really lecture her? I remember just not saying much about certain things! I don't say much when she tells me stuff because I hated how  she  always ended up lecturing me about everything! I turn to her with my problems with Nima and she ends up giving me this whole talk that I really didn't need. Instead of helping me think things out, that shit she said made things worse! It's always annoyed me how she tried to act all 'cute' too, but do you see me snapping at that? I hate how she snaps at me but I let it go every time. You never see me snapping at her! She doesn't even know this but she makes me feel so stupid every time she gives me one of her as-a-matter-of-fact comments. I really don't need that stuff but I just took it all in and kept quiet anyway.  Wil pointed out so many places in my old blog about how much I loved my best friend. Yeah, those were all true. It took a lot of troubles, sweat, tears, and of course laughs to get through to now. It wasn't me who told her to get out of my life... she told me to. It'll probably only frustrate her even more if I did anything about that. So what can I do? I can't force my way back into her face because of that.   Yeah, she's always been there for me. She went all the way downtown with me and all the way back up with me and was there when I was doing stuff with Wil. At the Candy Carnival she went outside and walked with me when I wanted to. Yeah, she was there all those times. But what do you want me to do about it? I can't do shit to get her to take back the 'get out of my life'. It wasn't me who decided to end this, it was her. And if that's what she wanted then that's that.   I know that she gets frustrated with me. I know that I'm not the greatest friend in the world. I'm not perfect... but the fact is: we've both changed into totally different people. From when we first met in grade 4 till now. Five years ago, we were just friends. She knew me as 'the girl who beat up Martin' and I knew her as 'the milky pens girl'. We sat together sometimes in Malin's french class upstairs and drew with her milky pens. In grade 5, we talked more and became best friends. We talked about Eric, Benny, and other stuff. In grade 6, we were still best friends and she was there too when I was with Ronen. In grade 7 last year, she was there when I was with Mike, when I was with Joel, and when I was with Wilfred. Even when I broke up with Wilfred. To be honest, that was one of the hardest things I ever had to do... break up with him. I can honestly say I loved him. What we had was definitely something special and something I could never forget unless I got into a very unfortunate accident where I lose my memories. This year in grade 8, she was there when I was with Nima and through all the good times and the bad. Finally, this happened and is this the end already? I have no idea.   Would it ever be possible that we get back together as best friends again? I have no idea. It could be possible but it also may not happen. I don't know.   Wilfred said that I would probably have too much pride to say sorry and stuff to fix it up and he's probably right. I do have too much pride sometimes to do certain things. I remember back in grade 4, Rachel and I always fought and always hated then loved then hated then loved each other. We were always fighting. We still ended up being pretty good friends. We were, in other words, inseperable. I've always been the one to set away my pride to apologize and she never was able to do that until later. I don't know why I can't do it now. It's just... unexplainable with words.   I skipped church for Wonderland? I wanted to go to church and then go to Wonderland a little later than everybody and meet up with them there but a few people needed rides and couldn't go unless they had a ride there and my mom wouldn't pick them up on the way to church to pick me up so I had to just go with them.   Katie said 'its not like u never skipped cd team!'. The thing is, it would've worked if she hadn't been there with me. Everybody has. That makes the statement killed. And the thing is, I didn't have anybody there telling me not to skip.   Everybody I talked to told this to me as politely as possibly because they knew that Erica and I were 'best friends' and I just kept quiet about what they said. Basically, they said that maybe it wasn't a good idea to bring Erica and Katie to our church. Bringing more people to church is always good but it probably wasn't the right time to yet. All they had ever done at our church was socialize and mack. Erica always complained about Katie and how all she did was mack and go to church for friends. The thing is, she's doing the  exact same thing . She said 'o thx joey for bringing me to church and God' and all that shit, but what is that? Shit!   She complained to me that all these guys were hitting on her and asking her out and then she turns around and goes macking right back and leading them on! When they ask her out, she just rejects them and continues flirting. Not healthy in my opinion.  She thought that I was talking behind her back but I wasn't. I was just talking to Katie about why she skipped. I was actually gonna speak to Erica seperately to see what happened. Katie being there for her? Why do you need someone to be there for you when you're on the phone with your man?! Erica's always complained and bitched about Katie this Katie that and then she goes telling me that Katie was there for her? Okay right whatever.  There's just so many thoughts running through my head and I just have no idea as to how I can arrange them yet. I'm not the one who called off this friendship in one day, okay? She did. If that's all this friendship ever meant to her, then I guess it's fine with me that she calls it off in  one day .   ------------------------------  From the movie Stand By Me, the main character said in the end of the movie that he never had friends in his entire life like the ones he had when he was 12. I find that very true... because once we all grow up and change into our own people, the way we look at things and the way we do things are different and it changes the relationships between us.  ------------------------------   Just one more thing I had to say...  I didn't show it but I was actually disappointed and kind of hurt that she told me to get out of her life. I really did care and I sincerely loved her as a best friend. She meant so much to me... and I don't know if she took me seriously but I meant it when I said she meant more to me than even Nima.         ",3918642,3918642,True
"                 There's somethin' 'bout the way You look tonight There's somethin' 'bout the way that I can't take my eyes off you  There's somethin' 'bout the way your lips invite Maybe it's the way that I get nervous when you're around  And I want you to be mine And if you need a reason why  It's in the way that you move me And the way that you tease me That way that I want you tonight  It's the way that you hold me And the way that you know me And when I can't find the right words to say  You feel it in the way Oh, feel it in the way  Somethin' 'bout how you stay on my mind There's somethin' 'bout the way that I whisper your name when I'm asleep, oh, girl Maybe it's the look you get in your eyes Oh, baby, it's the way that it makes me feel to see you smile And the reasons they may change But what I'm feelin' stays the same  I can't put my fingers on just what it is that make me Love you, you, baby So don't ask me to decribe I get all choked up inside Just thinkin' 'bout the way  Clay Aiken rocks my world guys... seriously! I want to marry his voice. Man, if that boy sang to me I would jump in his bed... er, i mean arms... right then and there.                      ","             no sorry, you cant put it in a list. Check out your email. me and autumn sent you something. write back. bye. im at school.          ",1131517,3377802,False
"        urlLink    Kin, this is for you... My new hairstyle..&nbsp; urlLink       ",        urlLink    Me trying new poses now and then...  urlLink        ,4304957,4304957,True
"       Dunno why I'm here. I really have nothing much to say I'm just uber bored due to the 3 day hiatus on gas pumping due to lack of scheduling. I think I'm gonna trim my nose hairs then go for a jog. I must see Napoleon Dynamite. A friend sent me the dance scene and I cried I laughed so hard. I'm doing it for the next dance show hands down.  I'm in  a better mood today. Dunno what was wrong with me last night. Maybe it'll kick back in tonight and I'll figure it out.  I'm watching Newlyweds season 2 right now. Jessica my oh my. How can something so hot be so stupid? Ok yeah easily I know I know.  I've decided I don't need a girlfriend I just need to get laid. I've got alot of pent uo sexual frustration. Need to let off some steam. Not saying I you know...would be rough or something like that...wow am I sounding like a creep here. CHANGE OF SUBJECT!!  I started listening to some of Johnny Cash's old stuff. Quality shit. Anyone who thinks they know everything about him because they've heard 'hurt', you don't know shit. I'm getting tired of all these little 15 and 16 year old girls saying they love him and bands like  Zepplin and shit like that cause they're trying to be trendy. I went to Market Mall yesterday. UGH. So many wannabe trendy crap ass stores. All you see is what Cosmo says is cool these days. Even that 'Play' is shit. trying to pretend they're indy but the second you step in the first album I saw was Jojo. I'm not saying I'm some indy freak. Just saying mainstream and indy are two completely different worlds and it's lame that they're trying to mesh them. Why can't people just be themselfs and stop having to be told what's cool or not. Gah lame.  Hey I bought Godsend yesterday. About to watch it. Looks scary as shit. Send in the clones oui?     ","           Inspired by Spending My Time-nya Roxette, I just want to write this lyric for 'someone' who  was  very nice before... but somehow you have changed now. It is also for you guys who realize that LOVE is just a  silly game.... You play, You win, only to lose .... Anyway, good luck for 'YOU' always. Regards,   ROXETTE - Spending My Time   What's the time?  Seems it’s already morning  I see the sky, it’s so beautiful and blue  The TV's on  But the only thing showing is a picture of you   Oh, I get up and make myself some coffee  I try to read a bit but the story's too thin  I thank the Lord above  That you're not there to see me  In this shape I'm in   Spending my time  Watching the days go by  Feeling so small  I stare at the wall  Hoping that you think of me too  I'm spending my time   I try to call but I don't know what to tell you  I leave a kiss on your answering machine  Oh, help me please  Is there someone who can make me  Wake up from this dream?   Spending my time  Watching the days go by  Feeling so small  I stare at the wall  Hoping that you are missing me too   I'm spending my time  Watching the sun go down  I fall asleep to the sound  Of 'tears of a clown'  A prayer gone blind   I'm spending my time    My friends keep telling me:  Hey, life will go on  Time will make sure I’ll get over you  This silly game of love you play you win only to lose    Spending my time  Watching the days go by  Feeling so small  I stare at the wall  Hoping that you think of me too   I'm spending my time  Watching the sun go down  I fall asleep to the sound  Of 'tears of a clown'  A prayer gone blind I'm spending my time   I can play without to lose          ",4173964,3309489,False
"         Now I Remember...     Song in head:  Breakfast at Tiffany's - Deep Blue Something  Current Mood:  Irked  Okay, so in order to make my mom feel as if she holds  some  importance, I asked her for some advice.  I remember now, why I stopped asking her for advice.  And now, Christena is at the aunt's house, so mom and I are here alone, which means that she will want to do something, and I just don't want to.  *looks skyward* Good one, pal.    The money I would pay right now for a good excuse to get out of the house... John is closing at Wendy's, but the Dining Room will be closed.  Kathleen is babysitting.  Brad is still unhappy with my decision to not cheer on Walnut in the championship at Anderson, a pleasure drive will be heavily opposed by the one upstairs, I've eaten dinner... Hmmm... Starbucks would be closed by the time I got there... Bah... I refuse to allow this one night to ruin my good week... no siree!!!  'I enjoy being the mystery.  Nobody knows me.'  'Bullshit!' 'I rest my case, because you just shot yours down.'    ","        Song in head:  Road Trippin' - Red Hot Chili Peppers  Current Mood:  Pretty damn happy  So it's Super Bowl Sunday... woo party... not.  As I say, 'big whoop.'  I don't intend to watch the damn thing, obviously.  After that pathetic half-time show a couple years ago, I lost all faith in the big bowl.  Plus, it's football... and football tends to suck, in my opinion.  So yeah.    Had fun last night, mostly.  Went to Tri-County Mall and walked around w/ John and Jesse.  Bought some choco-covered espresso beans, then cruised around... ended up in K-Wood, go figure.  Visited Kathy at Old Navy, where I got a prima billig deal on a hoodie--$4.89.  Yess....  Also snagged a black dress shirt- mehr kuhl bohnen.  Then brought the happy couple back to Tri-County so Jesse could go home, and went to Steak n' Shake for a late-night dinner with Kathleen, Eileen, and Annie.  Not to my surprise, it was almost de ja vu as Eileen and Annie were going nuts drawing signs that say 'We're horny, call this #!' *shakes head*  I think the most awkward thing was that the restaurant was so fucking quiet and we were all laughing it up... Oh well.  We didn't get kicked out, so alles gute.  Then came home.  Alles so viel spass machen!!  (Lots of fun.)  Went to work today.  That was fun.  Covered the door for the first 1.5 hrs, then swung over to Starbucks, and went down to do my interview of the campaign ppl.  That was a lot of fun.  Caught up w/ Bev, who I haven't seen in a long time, and found out quite a bit about the campaign.  Wrote my article (nearly 1.75 pages... it'll have to hit the chop block) but zonked out after 45 mins... so went up for ice cream, then snagged a coke... got going to finish up.  Then went back upstairs to drop off mom's voter reg. card and talked to Faith for a little while.  And I  finally  snagged another positive comment on the 'new look.'  Not that I care, really, but the annoying thug/murderer/rapist/scary guy/sniper comments were just getting annoying.  Thus, hearing an 'It looks good on you.' was nice.  Then hopped back in the C-Bomber and came home, so here I am.    Mom wants me to run to the store, so I reckon I'll do that, then come back to work on the notecards... Silly Scooter.  Thus, alles gute, einmal gegen.    At least I was wrong about 97.3 getting the axe... it was 97.7.  *phew*  worried me there for a while.    Well, let's see... I'm feeling like a poem this evening.    Running  by Richard Wilbur    1933 (North Caldwell, NJ)   What were we playing?  Was it prisoner's base? I ran with whacking keds Down the cart-road past Richard's place, And where it dropped beside the tractor-sheds  Leapt out into the air above a blurred  Terrain, through jolted light,  Took two hard lopes, and at the third Spanked off a hummock-side exactly right,  And made the turn, and with delighted strain Sprinted across the flat By the bull-pen, and up the lane. Thinking of happiness, I think of that.    ",2341023,2341023,True
